feature,modality,feature_group,feature_type,aggregation,analysis_role,class_id,class_name,n_subjects_total,n_nonmissing,missing_subject_fraction,median,q25,q75,iqr,cn_reference_median,median_diff_vs_cn,robust_smd_vs_cn,cliffs_delta_vs_cn,abs_cliffs_delta_vs_cn,max_abs_cliffs_delta_non_cn
activity__activity_class_5min__entropy__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,1.158728877,1.096683319,1.225973763,0.1292904445,1.249054177,-0.09032530023,-1.039154175,-0.4013071895,0.4013071895,0.4013071895
activity__activity_class_5min__entropy__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__entropy__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__entropy__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__longest_inactive_run__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,7,6,9,3,7,0,0,0,0,0.2290362954
activity__activity_class_5min__longest_inactive_run__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,6.5,5,8,3,7,-0.5,-0.2248333333,-0.2290362954,0.2290362954,0.2290362954
activity__activity_class_5min__longest_inactive_run__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,6,5,9,4,7,-1,-0.3815548191,-0.08888888889,0.08888888889,0.2290362954
activity__activity_class_5min__longest_inactive_run__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,15,13,17,4,15,0,0,0,0,0.227534418
activity__activity_class_5min__longest_inactive_run__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,13,12,16.25,4.25,15,-2,-0.6537605094,-0.227534418,0.227534418,0.227534418
activity__activity_class_5min__longest_inactive_run__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,13,12,15,3,15,-2,-0.7631096383,-0.2196078431,0.2196078431,0.227534418
activity__activity_class_5min__longest_inactive_run__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__longest_inactive_run__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__longest_inactive_run__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__longest_nonwear_run__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,11,7,14,7,11,0,0,0,0,0.07209011264
activity__activity_class_5min__longest_nonwear_run__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,12,6.875,16.875,10,11,1,0.1562909436,0.07209011264,0.07209011264,0.07209011264
activity__activity_class_5min__longest_nonwear_run__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,13,2,13.5,11.5,11,2,0.2834118047,-0.01699346405,0.01699346405,0.07209011264
activity__activity_class_5min__longest_nonwear_run__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0,0,5,5,0,0,0,0,0,0.05556946183
activity__activity_class_5min__longest_nonwear_run__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0,0,4,4,0,0,0,-0.05556946183,0.05556946183,0.05556946183
activity__activity_class_5min__longest_nonwear_run__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0,0,5,5,0,0,0,-0.0522875817,0.0522875817,0.05556946183
activity__activity_class_5min__longest_nonwear_run__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__longest_nonwear_run__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__longest_nonwear_run__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__longest_rest_run__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,13.75,11,17,6,13.75,0,0,0,0,0.4026143791
activity__activity_class_5min__longest_rest_run__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,15.5,13.25,19,5.75,13.75,1.75,0.4017388652,0.2032540676,0.2032540676,0.4026143791
activity__activity_class_5min__longest_rest_run__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,17.75,15.5,19,3.5,13.75,4,1.098596674,0.4026143791,0.4026143791,0.4026143791
activity__activity_class_5min__longest_rest_run__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,33,26.5,41,14.5,33,0,0,0,0,0.2575163399
activity__activity_class_5min__longest_rest_run__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,35,28.75,39,10.25,33,2,0.2148752274,0.02903629537,0.02903629537,0.2575163399
activity__activity_class_5min__longest_rest_run__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,35,33,54,21,33,2,0.1495144181,0.2575163399,0.2575163399,0.2575163399
activity__activity_class_5min__longest_rest_run__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__longest_rest_run__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__longest_rest_run__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__transition_rate__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,0,CN,85,85,0,0.0487804878,0.04181184669,0.05574912892,0.01393728223,0.0487804878,0,0,0,0,0.2549019608
activity__activity_class_5min__transition_rate__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,1,MCI,47,47,0,0.04529616725,0.04181184669,0.05487804878,0.01306620209,0.0487804878,-0.003484320557,-0.347948045,-0.01276595745,0.01276595745,0.2549019608
activity__activity_class_5min__transition_rate__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,candidate,2,DEM,9,9,0,0.04442508711,0.03484320557,0.05487804878,0.02003484321,0.0487804878,-0.004355400697,-0.3404568867,-0.2549019608,0.2549019608,0.2549019608
activity__activity_class_5min__transition_rate__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,0,CN,85,85,0,0.2491289199,0.2299651568,0.2717770035,0.04181184669,0.2491289199,0,0,0,0,0.2954248366
activity__activity_class_5min__transition_rate__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,1,MCI,47,47,0,0.2543554007,0.2343205575,0.2717770035,0.03745644599,0.2491289199,0.005226480836,0.1776221949,0.09061326658,0.09061326658,0.2954248366
activity__activity_class_5min__transition_rate__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,candidate,2,DEM,9,9,0,0.2404181185,0.1881533101,0.2508710801,0.06271777003,0.2491289199,-0.008710801394,-0.2204672219,-0.2954248366,0.2954248366,0.2954248366
activity__activity_class_5min__transition_rate__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__transition_rate__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__transition_rate__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__unknown_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__unknown_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__unknown_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__unknown_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__unknown_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__unknown_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__unknown_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__unknown_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__unknown_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__valid_count__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__valid_count__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__valid_count__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__valid_count__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,negative_control,0,CN,85,85,0,288,288,288,0,288,0,,0,0,0
activity__activity_class_5min__valid_count__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,negative_control,1,MCI,47,47,0,288,288,288,0,288,0,,0,0,0
activity__activity_class_5min__valid_count__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,negative_control,2,DEM,9,9,0,288,288,288,0,288,0,,0,0,0
activity__activity_class_5min__valid_count__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__valid_count__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__valid_count__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__valid_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__valid_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__valid_ratio__subject_day_iqr,activity,activity_class_5min,parsed_intraday,subject_day_iqr,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__valid_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,negative_control,0,CN,85,85,0,1,1,1,0,1,0,,0,0,0
activity__activity_class_5min__valid_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,negative_control,1,MCI,47,47,0,1,1,1,0,1,0,,0,0,0
activity__activity_class_5min__valid_ratio__subject_median,activity,activity_class_5min,parsed_intraday,subject_median,negative_control,2,DEM,9,9,0,1,1,1,0,1,0,,0,0,0
activity__activity_class_5min__valid_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__valid_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_class_5min__valid_ratio__subject_missing_fraction,activity,activity_class_5min,parsed_intraday,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_daily_movement__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,4185.25,2753,5395.75,2642.75,4185.25,0,0,0,0,0.3699346405
activity__activity_daily_movement__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,4335.75,3250.125,5209.625,1959.5,4185.25,150.5,0.08727185632,0.08035043805,0.08035043805,0.3699346405
activity__activity_daily_movement__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,2668.75,1807.5,3623,1815.5,4185.25,-1516.5,-0.902338027,-0.3699346405,0.3699346405,0.3699346405
activity__activity_daily_movement__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,8340,6065,11185,5120,8340,0,0,0,0,0.260130719
activity__activity_daily_movement__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,8042,6040.5,11678.25,5637.75,8340,-298,-0.07465078217,-0.0007509386733,0.0007509386733,0.260130719
activity__activity_daily_movement__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,6166,3243,9513,6270,8340,-2174,-0.5123601575,-0.260130719,0.260130719,0.260130719
activity__activity_daily_movement__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_daily_movement__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_daily_movement__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_high__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,2,1,4,3,2,0,0,0,0,0.168627451
activity__activity_high__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,1,1,3,2,2,-1,-0.5291213326,-0.1416770964,0.1416770964,0.168627451
activity__activity_high__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,1,0,3,3,2,-1,-0.4496666667,-0.168627451,0.168627451,0.168627451
activity__activity_high__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,1,0,3,3,1,0,0,0,0,0.09461827284
activity__activity_high__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,0,0,1.75,1.75,1,-1,-0.5492983372,-0.09461827284,0.09461827284,0.09461827284
activity__activity_high__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,0,0,4,4,1,-1,-0.3815548191,0.01960784314,0.01960784314,0.09461827284
activity__activity_high__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,0,CN,85,85,0,0,0,0,0,0,0,,0,0,0
activity__activity_high__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,1,MCI,47,47,0,0,0,0,0,0,0,,0,0,0
activity__activity_high__subject_missing_fraction,activity,daily_scalar,scalar,subject_missing_fraction,negative_control,2,DEM,9,9,0,0,0,0,0,0,0,,0,0,0
activity__activity_inactive__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,0,CN,85,85,0,123,104,150.25,46.25,123,0,0,0,0,0.0423028786
activity__activity_inactive__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,1,MCI,47,47,0,127.75,108.375,148.75,40.375,123,4.75,0.1476032044,0.0423028786,0.0423028786,0.0423028786
activity__activity_inactive__subject_day_iqr,activity,daily_scalar,scalar,subject_day_iqr,candidate,2,DEM,9,9,0,115.5,103,159.5,56.5,123,-7.5,-0.1959616741,-0.03529411765,0.03529411765,0.0423028786
activity__activity_inactive__subject_median,activity,daily_scalar,scalar,subject_median,candidate,0,CN,85,85,0,503,461.5,584,122.5,503,0,0,0,0,0.2196078431
activity__activity_inactive__subject_median,activity,daily_scalar,scalar,subject_median,candidate,1,MCI,47,47,0,499,422.5,561.25,138.75,503,-4,-0.04122941045,-0.121902378,0.121902378,0.2196078431
activity__activity_inactive__subject_median,activity,daily_scalar,scalar,subject_median,candidate,2,DEM,9,9,0,494,432,542,110,503,-9,-0.1042880957,-0.2196078431,0.2196078431,0.2196078431
