feature,family,comparison,group_n,reference_n,group_median,reference_median,cliffs_delta_group_minus_cn,robust_smd_group_minus_cn,direction_free_univariate_auc,missing_fraction,abs_cliffs_delta
activity__event7__activity__circadian__m10__late_half_minus_early_half,activity:change,IMPAIRED_vs_CN,56,85,0.03274999684964641,0.006666676873962052,0.04831932773109244,0.10796695138836114,0.5241596638655462,0.0,0.04831932773109244
activity__event7__activity__circadian__peak_cos__median,activity:level,MCI_vs_CN,47,85,-0.603553390593274,-0.7071067811865479,0.20450563204005007,0.27965886099368964,0.602252816020025,0.0,0.20450563204005007
activity__event7__activity__circadian__peak_cos__median,activity:level,DEM_vs_CN,9,85,-0.8660254037844387,-0.7071067811865479,0.030065359477124184,-0.5057097079654655,0.515032679738562,0.0,0.030065359477124184
activity__event7__activity__circadian__peak_cos__median,activity:level,IMPAIRED_vs_CN,56,85,-0.7071067811865475,-0.7071067811865479,0.17647058823529413,1.2062559574973087e-15,0.5882352941176471,0.0,0.17647058823529413
activity__event7__activity__circadian__peak_cos__trimmed_mean_10,activity:level,MCI_vs_CN,47,85,-0.5474216042962153,-0.6854110080517966,0.17496871088861077,0.4383254196829062,0.5874843554443053,0.0,0.17496871088861077
activity__event7__activity__circadian__peak_cos__trimmed_mean_10,activity:level,DEM_vs_CN,9,85,-0.6328610630609747,-0.6854110080517966,0.16993464052287582,0.189323390988598,0.5849673202614379,0.0,0.16993464052287582
activity__event7__activity__circadian__peak_cos__trimmed_mean_10,activity:level,IMPAIRED_vs_CN,56,85,-0.5614055054538496,-0.6854110080517966,0.1741596638655462,0.3952759114485075,0.5870798319327731,0.0,0.1741596638655462
activity__event7__activity__circadian__peak_cos__p10,activity:level,MCI_vs_CN,47,85,-0.9159756150367535,-0.9659258262890682,0.21051314142678348,0.39041816952247643,0.6052565707133918,0.0,0.21051314142678348
activity__event7__activity__circadian__peak_cos__p10,activity:level,DEM_vs_CN,9,85,-0.8660254037844388,-0.9659258262890682,0.5660130718954248,1.7598932715443718,0.7830065359477124,0.0,0.5660130718954248
activity__event7__activity__circadian__peak_cos__p10,activity:level,IMPAIRED_vs_CN,56,85,-0.9059855727862905,-0.9659258262890682,0.2676470588235294,0.4934580440181258,0.6338235294117647,0.0,0.2676470588235294
activity__event7__activity__circadian__peak_cos__p90,activity:level,MCI_vs_CN,47,85,-0.15529142706151233,-0.37940952255126054,0.1341677096370463,0.4411618451970576,0.5670838548185232,0.0,0.1341677096370463
activity__event7__activity__circadian__peak_cos__p90,activity:level,DEM_vs_CN,9,85,-0.2499999999999999,-0.37940952255126054,0.23660130718954248,0.21132072158726734,0.6183006535947713,0.0,0.23660130718954248
activity__event7__activity__circadian__peak_cos__p90,activity:level,IMPAIRED_vs_CN,56,85,-0.18971764755176307,-0.37940952255126054,0.15063025210084033,0.37886810888747235,0.5753151260504201,0.0,0.15063025210084033
activity__event7__activity__circadian__peak_cos__iqr,activity:variability,MCI_vs_CN,47,85,0.3749999999999997,0.27451905283832867,0.1506883604505632,0.2905602265275346,0.5753441802252816,0.0,0.1506883604505632
activity__event7__activity__circadian__peak_cos__iqr,activity:variability,DEM_vs_CN,9,85,0.38306249063990466,0.27451905283832867,0.2627450980392157,0.334980885158522,0.6313725490196078,0.0,0.2627450980392157
